1956967341,Worry,-19.55,-19.00,-20.50,-18.92,-18.49,-18.82,-20.21,-19.83,-19.73,-19.97,-21.18,-19.21,-21.45
1956967666,Worry,-12.83,-11.54,-13.29,-11.74,-11.46,-12.64,-12.77,-13.12,-12.55,-12.73,-14.10,-12.76,-14.72
1956967696,Sadness,-12.09,-11.35,-12.10,-12.39,-11.90,-12.69,-12.84,-12.28,-11.67,-12.54,-11.78,-12.19,-11.72
1956967789,Neutral,-13.21,-11.13,-11.95,-10.84,-10.91,-12.56,-11.19,-11.60,-12.08,-11.34,-14.10,-12.76,-14.07
1956968416,Neutral,-16.47,-14.81,-15.86,-14.57,-14.83,-15.15,-15.86,-15.57,-14.99,-15.60,-17.25,-15.53,-18.27
1956968477,Worry,-15.90,-14.19,-15.98,-14.19,-14.07,-15.48,-14.16,-14.34,-14.90,-14.24,-16.82,-15.22,-17.49
1956968487,Worry,-29.20,-26.42,-29.16,-26.49,-26.36,-27.50,-26.93,-27.34,-27.44,-27.62,-30.67,-28.22,-32.47
1956968636,Neutral,-2.42,-2.43,-2.60,-1.93,-2.32,-2.28,-2.11,-2.27,-2.67,-2.16,-3.45,-2.54,-3.21
1956969035,Love,-6.25,-4.25,-5.66,-5.10,-4.66,-5.12,-3.89,-5.20,-5.89,-4.83,-6.45,-5.50,-7.21
1956969172,Worry,-6.98,-5.35,-7.16,-6.22,-5.46,-6.30,-6.46,-7.08,-6.46,-6.41,-7.25,-5.88,-7.03
