1957083641,fuckin'm transtelecom
1957089935,Working   But it's Fridaaaayyyyy
1957110088,Packing  I don't like it..
1957289252,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
1957291305,makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
1957320931,@LouGagliardi  damned hordies
1957448941,@bcollinstattoo yes
1957477724,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957587490,@rmilana Hey
1957589597,Did a historical Jesus ever exist? Im finding it hard to prove
1957597348,lost all my files since high school.
1957724418,i hav a chance to win $10
1957728707,i never knew a dentention was so hard 2 get
1957758701,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
1958065414,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
1958075486,@LeahMul awh
1958110071,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
1960129867,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
1960137406,@Greenwichlad Oh let me clarify
1960339755,Confuzzled
1960422487,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
1960545040,@eboogiee smh Your whin with that comment
1960598982,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
1960809800,@mashable Link to ff &quot;how it works&quot; is broke!
1961189720,aaaaaaaaaaa McFly
1961276271,Shout out to my moms for wakin me up so prematurely! Preciate it
1961282376,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
1961482073,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
1961501807,@wmdev Every time I succeed with a code
1961567959,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
1961569799,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
1961864046,@BigCatJared   What did I do to you!  sheesh
1961887160,studying for this bullshit econ test
1961969140,Internet is painfully slow today
1962000203,@cindaxo the straightener's another 110 pounds though. Seems pricey
1962106409,MOtherfuck QW
1962171118,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
1962188721,Very bad things.......I need to stop thinking!
1962197648,@anz_rocks19  i have to break the twitterparty... im off home soon
1962213285,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
1962220378,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
1962257822,It's so annoying when I want to go see The Sats
1962326416,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
1962781067,#twitterfails fucking hard right now...this is annoying
1962959665,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
1962994871,@egheitasean Which denomination? I'm at the library and everything's blocked.
1962996830,bout to go to work with a wicked sunburn on the chest.
1963126649,Wow
1963321469,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
1963562862,Grabbing a snack and a drink at chili's
1963608177,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
1963609364,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
1963814520,@tommcfly Why do you not respond me?
1963859530,Big Laptop is too big
1963994985,People at work are stressing me out.
1964034674,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
1964085747,Wish my headache/almost migraine would go away!
1964145604,Gah
1964155762,My throat is on fire
1964329118,sam and sean are teasing me saying they are gonna get wings without me
1964365667,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
1964560834,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
1964602268,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
1964660672,And you could have it all
1964763838,@porcelain_baby @Christomopher your not talking about your obsession with me right???
1964826940,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
1964864746,Had a shower. it's 5:55 PM. Triple 5's! Crap
1965098072,@ACMcWhale I always feel guilty about it
1965390275,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
1965401110,@natss91 kill me as soon as you get here 
1965401596,rught brb on me ipod. if i randomly go off its cos me internet breaks
1965504514,at famous dave's with my mom. so hungry.
1965534896,@maddsie Thanks
1965570494,I am beginning to think sun blcok is a haox.
1965673873,Just found out my parents are putting down my dog tomorrow morning. Upset
1965686021,Apperently ea knows my copy of the sims 3 is not legit and is upset
1965796099,FUCK. slept in
1965814223,my sisters fucking pc
1965988154,@PENLDN just got in
1966093934,too sick for rigging tomorrow.
1957183352,THIS TWITTER SHIT BORES ME
1957208962,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out
1957217758,Tweeting from the tarmac at Cork Airport. Delayed
1957230479,Feeling nauseous and can't sleep.
1957249686,Friday tubes at work are slow..
1957271601,omg i realy can't sleep ughh
1957305026,Gogol Bordello &lt; par.    Prolly not even in the top 10 of GB shows I've seen.   Perhaps some old fashioned Civilization II will help?
1957306189,@Natalija been there  sucks like hell.
1957318577,is really ultra bored
1957413593,Last Chemistry lesson for this school year!  On a brighter note
1957501257,My brother just woke me up to help him with his homework. I'm not happy
1957509927,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2
1957516892,Finishing the video. Fuck me
1957530907,don't know what to do today.  amazing weather and i'm sitting here
1957588348,@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details
1957600441,fo shizzle. . . i'm bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.
1957718245,Again documentation day
1958073174,why im not sleeping  !!
1958074533,i think that studying has really started taking its toll..
